name,longitude,latitude
Destination Trucking 76,106.840477,-6.139044
Destination Trucking 77,106.873174,-6.337175
Destination Trucking 78,106.729145,-6.12834
Destination Trucking 79,106.786355,-6.112486
Destination Trucking 80,106.737499,-6.156571
Destination Trucking 81,106.628993,-6.138175
Destination Trucking 82,106.867764,-6.159397
Destination Trucking 83,107.58552,-6.907669
Destination Trucking 84,106.860588,-6.414662
Destination Trucking 85,106.819935,-6.15605
Destination Trucking 86,106.799088,-6.155105
Destination Trucking 87,112.700306,-7.460756
Destination Trucking 88,106.683751,-6.080758
Destination Trucking 89,106.678978,-6.082398
Destination Trucking 90,106.619677,-6.203647
Destination Trucking 91,106.808898,-6.171622
Destination Trucking 92,112.560645,-7.23724
Destination Trucking 93,106.781762,-6.229245
Destination Trucking 94,106.766016,-6.177285
Destination Trucking 95,106.756596,-6.181507
Destination Trucking 96,106.610939,-6.24218
Destination Trucking 97,106.669333,-6.166663
Destination Trucking 98,106.844878,-6.143192
Destination Trucking 99,110.37736,-7.728479
Destination Trucking 100,106.803631,-6.178716
Destination Trucking 101,106.535066,-6.207725
Destination Trucking 102,110.477553,-6.993428
Destination Trucking 103,110.484748,-7.004905
Destination Trucking 104,106.919391,-6.285927
Destination Trucking 105,106.792972,-6.264164
Destination Trucking 106,106.738557,-6.159076
Destination Trucking 107,107.619355,-6.946568
Destination Trucking 108,112.776033,-7.32286
Destination Trucking 109,106.791491,-6.143305
Destination Trucking 110,106.51267,-6.212292
Destination Trucking 111,107.538055,-7.045425
Destination Trucking 112,106.806135,-6.158755
Destination Trucking 113,107.672833,-6.945729
Destination Trucking 114,110.349922,-7.741838
Destination Trucking 115,107.521897,-7.021831
Destination Trucking 116,106.716192,-6.18719
Destination Trucking 117,106.563893,-6.207024
Destination Trucking 118,107.449879,-6.388276
Destination Trucking 119,106.829763,-6.419116
Destination Trucking 120,106.591362,-6.26491
Destination Trucking 121,106.680665,-6.083791
Destination Trucking 122,106.802355,-6.149795
Destination Trucking 123,106.581626,-6.134518
Destination Trucking 124,106.595523,-6.150078
Destination Trucking 125,106.616776,-6.164055
Destination Trucking 126,106.904756,-6.166598
Destination Trucking 127,106.591372,-6.264881
Destination Trucking 128,112.47407,-7.496124
Destination Trucking 129,106.854472,-6.432498
Destination Trucking 130,108.533529,-6.723132
Destination Trucking 131,106.680036,-6.082917
Destination Trucking 132,112.60471,-7.413972
Destination Trucking 133,112.603659,-7.38071
Destination Trucking 134,112.754269,-7.396458
Destination Trucking 135,106.774437,-6.188907
Destination Trucking 136,106.699914,-6.194006
Destination Trucking 137,106.70301,-6.192199
Destination Trucking 138,106.764836,-6.182683
Destination Trucking 139,104.78282,-2.943905
Destination Trucking 140,106.746631,-6.145077
Destination Trucking 141,106.796408,-6.141239
Destination Trucking 142,106.9063,-6.26884
Destination Trucking 143,106.617478,-6.154445
Destination Trucking 144,106.719509,-6.243906
Destination Trucking 145,104.762219,-2.931793
Destination Trucking 146,106.772416,-6.223796
Destination Trucking 147,106.821432,-6.157867
Destination Trucking 148,106.76096,-6.130919
Destination Trucking 149,106.612858,-6.244092
Destination Trucking 150,98.813741,3.535791
Destination Trucking 151,112.413847,-7.525028
Destination Trucking 152,106.749553,-6.128084
Destination Trucking 153,106.744543,-6.190409
Destination Trucking 154,107.466731,-7.082478
Destination Trucking 155,107.683448,-6.916986
Destination Trucking 156,106.767694,-6.175037
Destination Trucking 157,106.947842,-6.195236
Destination Trucking 158,106.823264,-6.156193
Destination Trucking 159,106.874272,-6.161484
Destination Trucking 160,106.975211,-6.273926
Destination Trucking 161,112.751994,-7.350968
Destination Trucking 162,106.678039,-6.077148
Destination Trucking 163,106.51427,-6.220657
Destination Trucking 164,106.773317,-6.131798
Destination Trucking 165,106.808667,-6.146685
Destination Trucking 166,106.682699,-6.079416
Destination Trucking 167,106.819913,-6.153423
Destination Trucking 168,106.830161,-6.151446
Destination Trucking 169,112.563408,-7.050196
Destination Trucking 170,106.732318,-6.196371
Destination Trucking 171,106.70704,-6.131981
Destination Trucking 172,106.679023,-6.081505
Destination Trucking 173,106.784737,-6.171947
Destination Trucking 174,106.775942,-6.195291
Destination Trucking 175,106.858057,-6.368187
Destination Trucking 176,106.804729,-6.169524
Destination Trucking 177,106.823455,-6.157225
Destination Trucking 178,106.712762,-6.190657
Destination Trucking 179,106.617391,-6.201225
Destination Trucking 180,106.799195,-6.171981
Destination Trucking 181,106.776476,-6.208489
Destination Trucking 182,106.784107,-6.269492
Destination Trucking 183,106.721116,-6.114951
Destination Trucking 184,106.822552,-6.152946
Destination Trucking 185,106.825101,-6.154801
Destination Trucking 186,106.823624,-6.155631
Destination Trucking 187,106.790547,-6.321335
Destination Trucking 188,106.772183,-6.220814
Destination Trucking 189,106.708581,-6.140297
Destination Trucking 190,112.533067,-7.199016
Destination Trucking 191,106.93464,-6.110737
Destination Trucking 192,107.673325,-6.930671
Destination Trucking 193,106.61715,-6.201025
Destination Trucking 194,106.914975,-6.146415
Destination Trucking 195,106.807196,-6.168115
Destination Trucking 196,112.551799,-7.253947
Destination Trucking 197,106.719421,-6.105915
Destination Trucking 198,106.706539,-6.131502
Destination Trucking 199,106.803982,-6.168648
Destination Trucking 200,106.622865,-6.250346
Destination Trucking 201,106.681203,-6.138612
Destination Trucking 202,106.677996,-6.076462
Destination Trucking 203,106.80334,-6.168308
Destination Trucking 204,107.607957,-6.936336
Destination Trucking 205,106.818761,-6.440003
Destination Trucking 206,106.782617,-6.610048
Destination Trucking 207,106.813052,-6.418815
Destination Trucking 208,108.169923,-7.244562
Destination Trucking 209,106.957567,-6.226099
Destination Trucking 210,112.777491,-7.342501
Destination Trucking 211,106.53638,-6.223208
Destination Trucking 212,106.823911,-6.572995
Destination Trucking 213,107.01771,-6.413109
Destination Trucking 214,107.014886,-6.181522
Destination Trucking 215,106.792524,-6.146667
Destination Trucking 216,106.659654,-6.376722
Destination Trucking 217,106.811967,-6.344743
Destination Trucking 218,110.595327,-7.577247
Destination Trucking 219,106.775809,-6.116365
Destination Trucking 220,106.915419,-6.183246
Destination Trucking 221,106.724429,-6.187217
Destination Trucking 222,106.719096,-6.134658
Destination Trucking 223,106.70266,-6.384137
Destination Trucking 224,106.860253,-6.518632
Destination Trucking 225,112.694816,-7.252172
Destination Trucking 226,106.534706,-6.310219
Destination Trucking 227,106.746968,-6.17605
Destination Trucking 228,107.529756,-7.029856
Destination Trucking 229,106.724138,-6.229667
Destination Trucking 230,114.589759,-3.323102
Destination Trucking 231,114.601213,-3.294742
Destination Trucking 232,106.94521,-6.165833
Destination Trucking 233,106.772557,-6.131716
Destination Trucking 234,106.804257,-6.16822
Destination Trucking 235,106.914937,-6.196694
Destination Trucking 236,106.847531,-6.356319
Destination Trucking 237,106.699491,-6.096383
Destination Trucking 238,106.682372,-6.209132
Destination Trucking 239,106.588227,-6.209728
Destination Trucking 240,106.984225,-6.387813
Destination Trucking 241,106.814221,-6.157736
INDOMARET DC BOGOR,106.840121,-6.52111
ALFAMART DC BALARAJA,106.473712,-6.219524
ALFAMART DC KARAWANG,107.29353,-6.295681
ALFAMART DC CIKOKOL RR,106.628699,-6.210112
ALFAMART DC SERANG,106.136997,-6.104029
ALFAMART DC BOGOR,106.807376,-6.513525
ALFAMART DC BEKASI,107.153073,-6.310529
ALFAMART DC PARUNG,106.730192,-6.415635
ALFAMART DC CILEUNGSI II,106.96635,-6.418537
CCOD CIBIRU MENTARI,107.694517,-6.928013
INDOMARET DC BOGOR 2,106.841239,-6.50055
INDOMARET DC PURWAKARTA,107.456571,-6.452129
INDOMARET DC JAKARTA 2,106.814729,-6.121576
INDOMARET DC PARUNG,106.681334,-6.380044
INDOMARET DC TANGERANG 1,106.564971,-6.211765
INDOMARET DC LEBAK,106.16575,-6.336953
